County,Registered Voters,# In Person On 10/13/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HARRIS,"2,693,055",0,0,0.0%,"15,941","15,941",0.59%,Click Here
DALLAS,"1,467,410",0,0,0.0%,"6,705","6,705",0.46%,Click Here
TARRANT,"1,309,456",0,0,0.0%,"3,973","3,973",0.3%,Click Here
BEXAR,"1,295,580",0,0,0.0%,"4,605","4,605",0.36%,Click Here
TRAVIS,"926,313",0,0,0.0%,"2,655","2,655",0.29%,Click Here
COLLIN,"748,752",0,0,0.0%,983,983,0.13%,Click Here
DENTON,"661,565",0,0,0.0%,"2,339","2,339",0.35%,Click Here
FORT BEND,"555,569",0,0,0.0%,844,844,0.15%,Click Here
EL PASO,"521,945",0,0,0.0%,"3,101","3,101",0.59%,Click Here
MONTGOMERY,"453,832",0,0,0.0%,"3,529","3,529",0.78%,Click Here
HIDALGO,"446,417",0,0,0.0%,453,453,0.1%,Click Here
WILLIAMSON,"445,326",0,0,0.0%,256,256,0.06%,Click Here
BRAZORIA,"249,840",0,0,0.0%,"1,313","1,313",0.53%,Click Here
GALVESTON,"245,695",0,0,0.0%,"1,458","1,458",0.59%,Click Here
BELL,"240,207",0,0,0.0%,186,186,0.08%,Click Here
CAMERON,"238,215",0,0,0.0%,801,801,0.34%,Click Here
NUECES,"218,753",0,0,0.0%,883,883,0.4%,Click Here
LUBBOCK,"197,198",0,0,0.0%,558,558,0.28%,Click Here
HAYS,"186,198",0,0,0.0%,"1,399","1,399",0.75%,Click Here
SMITH,"162,009",0,0,0.0%,260,260,0.16%,Click Here
MCLENNAN,"159,331",0,0,0.0%,632,632,0.4%,Click Here
WEBB,"148,536",0,0,0.0%,24,24,0.02%,Click Here
JEFFERSON,"147,938",0,0,0.0%,102,102,0.07%,Click Here
ELLIS,"147,399",0,0,0.0%,302,302,0.2%,Click Here
COMAL,"143,696",0,0,0.0%,847,847,0.59%,Click Here
BRAZOS,"133,384",0,0,0.0%,877,877,0.66%,Click Here
GUADALUPE,"130,489",0,0,0.0%,"1,077","1,077",0.83%,Click Here
JOHNSON,"129,287",0,0,0.0%,338,338,0.26%,Click Here
PARKER,"127,635",0,0,0.0%,884,884,0.69%,Click Here
KAUFMAN,"108,165",0,0,0.0%,380,380,0.35%,Click Here
GRAYSON,"100,124",0,0,0.0%,194,194,0.19%,Click Here
RANDALL,"100,105",0,0,0.0%,"1,122","1,122",1.12%,Click Here
MIDLAND,"99,004",0,0,0.0%,198,198,0.2%,Click Here
TAYLOR,"89,791",0,0,0.0%,261,261,0.29%,Click Here
ROCKWALL,"87,932",0,0,0.0%,53,53,0.06%,Click Here
ECTOR,"86,640",0,0,0.0%,290,290,0.33%,Click Here
WICHITA,"79,805",0,0,0.0%,424,424,0.53%,Click Here
GREGG,"76,263",0,0,0.0%,295,295,0.39%,Click Here
HUNT,"72,860",0,0,0.0%,400,400,0.55%,Click Here
TOM GREEN,"72,586",0,0,0.0%,991,991,1.37%,Click Here
BOWIE,"62,656",0,0,0.0%,594,594,0.95%,Click Here
BASTROP,"61,403",0,0,0.0%,423,423,0.69%,Click Here
POTTER,"59,681",0,0,0.0%,504,504,0.84%,Click Here
HENDERSON,"59,479",0,0,0.0%,155,155,0.26%,Click Here
VICTORIA,"58,087",0,0,0.0%,"1,187","1,187",2.04%,Click Here
ORANGE,"56,232",0,0,0.0%,403,403,0.72%,Click Here
ANGELINA,"55,965",0,4,0.01%,380,384,0.69%,Click Here
WISE,"55,864",0,0,0.0%,212,212,0.38%,Click Here
LIBERTY,"54,530",0,0,0.0%,197,197,0.36%,Click Here
HOOD,"51,704",0,0,0.0%,452,452,0.87%,Click Here
HARRISON,"47,283",0,0,0.0%,252,252,0.53%,Click Here
CORYELL,"46,995",0,0,0.0%,274,274,0.58%,Click Here
SAN PATRICIO,"45,265",0,0,0.0%,254,254,0.56%,Click Here
WALLER,"44,330",0,0,0.0%,1,1,0.0%,Click Here
POLK,"44,308",0,0,0.0%,547,547,1.23%,Click Here
HARDIN,"43,116",0,0,0.0%,134,134,0.31%,Click Here
VAN ZANDT,"41,749",0,0,0.0%,11,11,0.03%,Click Here
KERR,"40,065",0,0,0.0%,296,296,0.74%,Click Here
NACOGDOCHES,"40,051",0,0,0.0%,398,398,0.99%,Click Here
BURNET,"39,186",0,0,0.0%,559,559,1.43%,Click Here
WILSON,"39,092",0,0,0.0%,65,65,0.17%,Click Here
KENDALL,"38,959",0,0,0.0%,201,201,0.52%,Click Here
WALKER,"38,958",0,0,0.0%,14,14,0.04%,Click Here
MEDINA,"38,525",0,0,0.0%,192,192,0.5%,Click Here
CHAMBERS,"37,026",0,0,0.0%,79,79,0.21%,Click Here
STARR,"36,420",0,0,0.0%,65,65,0.18%,Click Here
MAVERICK,"35,947",0,0,0.0%,7,7,0.02%,Click Here
WOOD,"35,589",0,1,0.0%,143,144,0.4%,Click Here
RUSK,"34,277",0,0,0.0%,183,183,0.53%,Click Here
LAMAR,"33,110",0,0,0.0%,181,181,0.55%,Click Here
NAVARRO,"32,955",0,0,0.0%,54,54,0.16%,Click Here
ATASCOSA,"32,142",0,0,0.0%,75,75,0.23%,Click Here
CHEROKEE,"32,121",0,0,0.0%,151,151,0.47%,Click Here
ANDERSON,"30,613",0,0,0.0%,64,64,0.21%,Click Here
UPSHUR,"30,374",0,0,0.0%,242,242,0.8%,Click Here
COOKE,"30,193",0,0,0.0%,228,228,0.76%,Click Here
VAL VERDE,"30,117",0,0,0.0%,254,254,0.84%,Click Here
CALDWELL,"27,097",0,0,0.0%,19,19,0.07%,Click Here
HILL,"26,589",0,0,0.0%,0,0,0.0%,Click Here
WHARTON,"26,422",0,0,0.0%,115,115,0.44%,Click Here
JIM WELLS,"26,414",0,0,0.0%,10,10,0.04%,Click Here
ERATH,"25,961",0,0,0.0%,21,21,0.08%,Click Here
WASHINGTON,"25,794",0,0,0.0%,10,10,0.04%,Click Here
BROWN,"25,500",0,0,0.0%,258,258,1.01%,Click Here
HOPKINS,"25,383",0,0,0.0%,103,103,0.41%,Click Here
FANNIN,"24,942",0,0,0.0%,281,281,1.13%,Click Here
JASPER,"24,496",0,0,0.0%,59,59,0.24%,Click Here
MATAGORDA,"22,394",0,0,0.0%,60,60,0.27%,Click Here
AUSTIN,"22,116",0,0,0.0%,73,73,0.33%,Click Here
GILLESPIE,"21,884",0,0,0.0%,347,347,1.59%,Click Here
CASS,"21,812",0,0,0.0%,301,301,1.38%,Click Here
