County,Registered Voters,# In Person On 10/17/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
WISE,"55,864",0,0,0.0%,346,346,0.62%,Click Here
LIBERTY,"54,530",0,0,0.0%,245,245,0.45%,Click Here
HOOD,"51,704",0,0,0.0%,660,660,1.28%,Click Here
HARRISON,"47,283",0,0,0.0%,313,313,0.66%,Click Here
CORYELL,"46,995",0,0,0.0%,364,364,0.77%,Click Here
SAN PATRICIO,"45,265",0,0,0.0%,371,371,0.82%,Click Here
WALLER,"44,330",0,0,0.0%,49,49,0.11%,Click Here
POLK,"44,308",0,0,0.0%,"1,213","1,213",2.74%,Click Here
HARDIN,"43,116",0,0,0.0%,218,218,0.51%,Click Here
VAN ZANDT,"41,749",0,0,0.0%,75,75,0.18%,Click Here
KERR,"40,065",0,0,0.0%,605,605,1.51%,Click Here
NACOGDOCHES,"40,051",0,0,0.0%,579,579,1.45%,Click Here
BURNET,"39,186",0,0,0.0%,807,807,2.06%,Click Here
WILSON,"39,092",0,0,0.0%,293,293,0.75%,Click Here
KENDALL,"38,959",0,0,0.0%,505,505,1.3%,Click Here
WALKER,"38,958",0,0,0.0%,108,108,0.28%,Click Here
MEDINA,"38,525",0,0,0.0%,291,291,0.76%,Click Here
CHAMBERS,"37,026",0,0,0.0%,99,99,0.27%,Click Here
STARR,"36,420",0,0,0.0%,88,88,0.24%,Click Here
MAVERICK,"35,947",0,0,0.0%,8,8,0.02%,Click Here
WOOD,"35,589",0,1,0.0%,235,236,0.66%,Click Here
RUSK,"34,277",0,0,0.0%,313,313,0.91%,Click Here
LAMAR,"33,110",0,0,0.0%,328,328,0.99%,Click Here
NAVARRO,"32,955",0,0,0.0%,130,130,0.39%,Click Here
ATASCOSA,"32,142",0,0,0.0%,137,137,0.43%,Click Here
CHEROKEE,"32,121",0,0,0.0%,232,232,0.72%,Click Here
ANDERSON,"30,613",0,0,0.0%,215,215,0.7%,Click Here
UPSHUR,"30,374",0,0,0.0%,296,296,0.97%,Click Here
COOKE,"30,193",0,0,0.0%,292,292,0.97%,Click Here
VAL VERDE,"30,117",0,0,0.0%,341,341,1.13%,Click Here
CALDWELL,"27,097",0,0,0.0%,141,141,0.52%,Click Here
HILL,"26,962",0,0,0.0%,1,1,0.0%,Click Here
WHARTON,"26,422",0,0,0.0%,180,180,0.68%,Click Here
JIM WELLS,"26,414",0,0,0.0%,86,86,0.33%,Click Here
ERATH,"25,961",0,0,0.0%,119,119,0.46%,Click Here
WASHINGTON,"25,794",0,0,0.0%,15,15,0.06%,Click Here
BROWN,"25,500",0,0,0.0%,336,336,1.32%,Click Here
HOPKINS,"25,383",0,0,0.0%,183,183,0.72%,Click Here
FANNIN,"24,942",0,0,0.0%,354,354,1.42%,Click Here
JASPER,"24,496",0,0,0.0%,140,140,0.57%,Click Here
MATAGORDA,"22,394",0,0,0.0%,162,162,0.72%,Click Here
AUSTIN,"22,116",0,0,0.0%,147,147,0.66%,Click Here
GILLESPIE,"21,884",0,0,0.0%,454,454,2.07%,Click Here
CASS,"21,812",0,0,0.0%,362,362,1.66%,Click Here
GRIMES,"21,080",0,0,0.0%,44,44,0.21%,Click Here
SAN JACINTO,"20,406",0,0,0.0%,56,56,0.27%,Click Here
PALO PINTO,"20,351",0,0,0.0%,267,267,1.31%,Click Here
ARANSAS,"19,849",0,0,0.0%,340,340,1.71%,Click Here
BANDERA,"19,026",0,0,0.0%,154,154,0.81%,Click Here
KLEBERG,"18,689",0,0,0.0%,80,80,0.43%,Click Here
LLANO,"18,455",0,0,0.0%,425,425,2.3%,Click Here
FAYETTE,"18,353",0,0,0.0%,306,306,1.67%,Click Here
HALE,"18,272",0,0,0.0%,113,113,0.62%,Click Here
TITUS,"18,026",0,0,0.0%,0,0,0.0%,Click Here
UVALDE,"17,929",0,0,0.0%,166,166,0.93%,Click Here
PANOLA,"17,836",0,0,0.0%,197,197,1.1%,Click Here
MILAM,"17,208",0,0,0.0%,160,160,0.93%,Click Here
HOWARD,"17,198",0,0,0.0%,263,263,1.53%,Click Here
LAMPASAS,"16,913",0,0,0.0%,193,193,1.14%,Click Here
SHELBY,"16,355",0,0,0.0%,63,63,0.39%,Click Here
BEE,"15,979",0,0,0.0%,216,216,1.35%,Click Here
MONTAGUE,"15,649",0,0,0.0%,133,133,0.85%,Click Here
TYLER,"14,888",0,0,0.0%,2,2,0.01%,Click Here
COLORADO,"14,775",0,0,0.0%,193,193,1.31%,Click Here
LIMESTONE,"14,443",0,0,0.0%,136,136,0.94%,Click Here
LAVACA,"14,389",0,0,0.0%,96,96,0.67%,Click Here
HOCKLEY,"13,984",0,0,0.0%,96,96,0.69%,Click Here
HOUSTON,"13,901",0,0,0.0%,245,245,1.76%,Click Here
BURLESON,"13,840",0,0,0.0%,206,206,1.49%,Click Here
BOSQUE,"13,638",0,0,0.0%,76,76,0.56%,Click Here
HUTCHINSON,"13,442",0,0,0.0%,100,100,0.74%,Click Here
FREESTONE,"13,406",0,0,0.0%,2,2,0.01%,Click Here
CALHOUN,"13,223",0,0,0.0%,112,112,0.85%,Click Here
GONZALES,"13,174",0,0,0.0%,133,133,1.01%,Click Here
LEON,"12,654",0,0,0.0%,178,178,1.41%,Click Here
ROBERTSON,"12,600",0,0,0.0%,10,10,0.08%,Click Here
EASTLAND,"12,520",0,0,0.0%,189,189,1.51%,Click Here
YOUNG,"12,394",0,0,0.0%,1,1,0.01%,Click Here
GRAY,"12,317",0,0,0.0%,184,184,1.49%,Click Here
TRINITY,"12,283",0,11,0.09%,43,54,0.44%,Click Here
LEE,"12,168",0,0,0.0%,86,86,0.71%,Click Here
WILLACY,"11,703",0,0,0.0%,0,0,0.0%,Click Here
DEWITT,"11,357",0,0,0.0%,189,189,1.66%,Click Here
BLANCO,"11,014",0,0,0.0%,85,85,0.77%,Click Here
JONES,"10,883",0,0,0.0%,141,141,1.3%,Click Here
ANDREWS,"10,739",0,0,0.0%,47,47,0.44%,Click Here
FALLS,"10,562",0,0,0.0%,0,0,0.0%,Click Here
GAINES,"10,467",0,0,0.0%,43,43,0.41%,Click Here
CALLAHAN,"10,439",0,0,0.0%,4,4,0.04%,Click Here
MOORE,"10,130",0,0,0.0%,58,58,0.57%,Click Here
COMANCHE,"10,022",0,0,0.0%,113,113,1.13%,Click Here
JACKSON,"9,894",0,0,0.0%,1,1,0.01%,Click Here
FRIO,"9,526",0,0,0.0%,66,66,0.69%,Click Here
NEWTON,"9,486",0,0,0.0%,11,11,0.12%,Click Here
RAINS,"9,404",0,0,0.0%,85,85,0.9%,Click Here
SCURRY,"9,366",0,0,0.0%,52,52,0.56%,Click Here
MORRIS,"8,948",0,0,0.0%,76,76,0.85%,Click Here
DEAF SMITH,"8,756",0,0,0.0%,78,78,0.89%,Click Here
RED RIVER,"8,746",0,0,0.0%,84,84,0.96%,Click Here
NOLAN,"8,494",0,0,0.0%,47,47,0.55%,Click Here
MADISON,"8,471",0,0,0.0%,50,50,0.59%,Click Here
KARNES,"8,449",0,0,0.0%,141,141,1.67%,Click Here
SABINE,"8,446",0,0,0.0%,114,114,1.35%,Click Here
CAMP,"8,424",0,0,0.0%,88,88,1.04%,Click Here
PECOS,"8,328",0,0,0.0%,27,27,0.32%,Click Here
CLAY,"8,291",0,0,0.0%,81,81,0.98%,Click Here
ZAPATA,"8,182",0,0,0.0%,0,0,0.0%,Click Here
WILBARGER,"8,126",0,0,0.0%,118,118,1.45%,Click Here
DUVAL,"8,031",0,0,0.0%,128,128,1.59%,Click Here
LAMB,"7,883",0,0,0.0%,2,2,0.03%,Click Here
REEVES,"7,838",0,0,0.0%,81,81,1.03%,Click Here
MARION,"7,822",0,0,0.0%,65,65,0.83%,Click Here
ZAVALA,"7,810",0,0,0.0%,23,23,0.29%,Click Here
LIVE OAK,"7,774",0,0,0.0%,58,58,0.75%,Click Here
FRANKLIN,"7,599",0,0,0.0%,73,73,0.96%,Click Here
SOMERVELL,"7,420",0,0,0.0%,15,15,0.2%,Click Here
BREWSTER,"7,408",0,0,0.0%,121,121,1.63%,Click Here
WARD,"7,047",0,0,0.0%,27,27,0.38%,Click Here
ARCHER,"7,008",0,0,0.0%,42,42,0.6%,Click Here
RUNNELS,"6,807",0,0,0.0%,41,41,0.6%,Click Here
DAWSON,"6,776",0,0,0.0%,2,2,0.03%,Click Here
DIMMIT,"6,706",0,0,0.0%,92,92,1.37%,Click Here
TERRY,"6,412",0,0,0.0%,58,58,0.9%,Click Here
HAMILTON,"6,260",0,0,0.0%,44,44,0.7%,Click Here
COLEMAN,"6,139",0,0,0.0%,58,58,0.94%,Click Here
SAN AUGUSTINE,"6,038",0,0,0.0%,60,60,0.99%,Click Here
STEPHENS,"5,881",0,0,0.0%,45,45,0.77%,Click Here
JACK,"5,857",0,0,0.0%,68,68,1.16%,Click Here
GOLIAD,"5,833",0,0,0.0%,69,69,1.18%,Click Here
MCCULLOCH,"5,424",0,0,0.0%,51,51,0.94%,Click Here
OCHILTREE,"5,201",0,0,0.0%,65,65,1.25%,Click Here
BROOKS,"4,945",0,0,0.0%,69,69,1.4%,Click Here
REFUGIO,"4,938",0,0,0.0%,0,0,0.0%,Click Here
PARMER,"4,549",0,0,0.0%,13,13,0.29%,Click Here
MITCHELL,"4,526",0,0,0.0%,24,24,0.53%,Click Here
PRESIDIO,"4,429",0,0,0.0%,19,19,0.43%,Click Here
LYNN,"4,385",0,0,0.0%,16,16,0.36%,Click Here
CARSON,"4,297",0,0,0.0%,37,37,0.86%,Click Here
YOAKUM,"4,289",0,0,0.0%,22,22,0.51%,Click Here
LASALLE,"4,210",0,0,0.0%,152,152,3.61%,Click Here
DELTA,"4,112",0,0,0.0%,84,84,2.04%,Click Here
WINKLER,"4,086",0,0,0.0%,3,3,0.07%,Click Here
SWISHER,"3,900",0,0,0.0%,57,57,1.46%,Click Here
CHILDRESS,"3,804",0,0,0.0%,24,24,0.63%,Click Here
SAN SABA,"3,795",0,0,0.0%,34,34,0.9%,Click Here
CASTRO,"3,694",0,0,0.0%,0,0,0.0%,Click Here
FLOYD,"3,660",0,0,0.0%,39,39,1.07%,Click Here
CROSBY,"3,638",0,0,0.0%,20,20,0.55%,Click Here
MILLS,"3,626",0,0,0.0%,50,50,1.38%,Click Here
JIM HOGG,"3,548",0,0,0.0%,51,51,1.44%,Click Here
MARTIN,"3,497",0,0,0.0%,9,9,0.26%,Click Here
HASKELL,"3,442",0,0,0.0%,19,19,0.55%,Click Here
WHEELER,"3,408",0,0,0.0%,57,57,1.67%,Click Here
KIMBLE,"3,318",0,0,0.0%,32,32,0.96%,Click Here
MASON,"3,278",0,0,0.0%,45,45,1.37%,Click Here
BAILEY,"3,172",0,0,0.0%,28,28,0.88%,Click Here
HANSFORD,"3,002",0,0,0.0%,41,41,1.37%,Click Here
DALLAM,"2,873",0,0,0.0%,54,54,1.88%,Click Here
HARTLEY,"2,846",0,0,0.0%,44,44,1.55%,Click Here
FISHER,"2,705",0,0,0.0%,40,40,1.48%,Click Here
REAL,"2,698",0,0,0.0%,23,23,0.85%,Click Here
CRANE,"2,674",0,0,0.0%,9,9,0.34%,Click Here
GARZA,"2,651",0,6,0.23%,22,28,1.06%,Click Here
COKE,"2,460",0,0,0.0%,59,59,2.4%,Click Here
SHACKELFORD,"2,439",0,0,0.0%,45,45,1.85%,Click Here
BAYLOR,"2,430",0,0,0.0%,0,0,0.0%,Click Here
DONLEY,"2,414",0,0,0.0%,17,17,0.7%,Click Here
HARDEMAN,"2,388",0,0,0.0%,16,16,0.67%,Click Here
SUTTON,"2,348",0,0,0.0%,8,8,0.34%,Click Here
HEMPHILL,"2,347",0,0,0.0%,24,24,1.02%,Click Here
CROCKETT,"2,289",0,0,0.0%,16,16,0.7%,Click Here
KNOX,"2,230",0,0,0.0%,9,9,0.4%,Click Here
HUDSPETH,"2,212",0,0,0.0%,12,12,0.54%,Click Here
KINNEY,"2,175",0,0,0.0%,6,6,0.28%,Click Here
UPTON,"2,114",0,0,0.0%,7,7,0.33%,Click Here
COLLINGSWORTH,"1,887",0,0,0.0%,31,31,1.64%,Click Here
HALL,"1,886",0,0,0.0%,18,18,0.95%,Click Here
LIPSCOMB,"1,818",0,0,0.0%,88,88,4.84%,Click Here
REAGAN,"1,803",0,0,0.0%,3,3,0.17%,Click Here
CONCHO,"1,795",0,0,0.0%,31,31,1.73%,Click Here
SCHLEICHER,"1,732",0,0,0.0%,9,9,0.52%,Click Here
CULBERSON,"1,707",0,0,0.0%,0,0,0.0%,Click Here
COCHRAN,"1,676",0,0,0.0%,34,34,2.03%,Click Here
JEFF DAVIS,"1,574",0,0,0.0%,14,14,0.89%,Click Here
MENARD,"1,516",0,0,0.0%,19,19,1.25%,Click Here
EDWARDS,"1,496",0,0,0.0%,7,7,0.47%,Click Here
SHERMAN,"1,448",0,0,0.0%,17,17,1.17%,Click Here
DICKENS,"1,433",0,0,0.0%,19,19,1.33%,Click Here
ARMSTRONG,"1,429",0,0,0.0%,15,15,1.05%,Click Here
OLDHAM,"1,340",0,0,0.0%,14,14,1.04%,Click Here
IRION,"1,230",0,0,0.0%,3,3,0.24%,Click Here
THROCKMORTON,"1,217",0,0,0.0%,5,5,0.41%,Click Here
BRISCOE,"1,037",0,0,0.0%,25,25,2.41%,Click Here
COTTLE,994,0,0,0.0%,5,5,0.5%,Click Here
STONEWALL,955,0,0,0.0%,1,1,0.1%,Click Here
STERLING,892,0,0,0.0%,4,4,0.45%,Click Here
MOTLEY,849,0,0,0.0%,24,24,2.83%,Click Here
GLASSCOCK,840,0,0,0.0%,15,15,1.79%,Click Here
FOARD,801,0,0,0.0%,0,0,0.0%,Click Here
ROBERTS,722,0,0,0.0%,14,14,1.94%,Click Here
MCMULLEN,644,0,0,0.0%,0,0,0.0%,Click Here
TERRELL,626,0,0,0.0%,7,7,1.12%,Click Here
KENT,602,0,0,0.0%,0,0,0.0%,Click Here
BORDEN,487,0,0,0.0%,1,1,0.21%,Click Here
KENEDY,270,0,0,0.0%,1,1,0.37%,Click Here
KING,165,0,0,0.0%,1,1,0.61%,Click Here
LOVING,126,0,0,0.0%,0,0,0.0%,Click Here
TOTAL,"18,623,931",0,22,0.0%,"136,179","136,201",0.73%,
