County,Registered Voters,# In Person On 10/17/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HARRIS,"2,693,055",0,0,0.0%,"21,517","21,517",0.8%,Click Here
DALLAS,"1,467,410",0,0,0.0%,"9,982","9,982",0.68%,Click Here
TARRANT,"1,309,456",0,0,0.0%,"9,548","9,548",0.73%,Click Here
BEXAR,"1,295,580",0,0,0.0%,"7,773","7,773",0.6%,Click Here
TRAVIS,"926,313",0,0,0.0%,"7,593","7,593",0.82%,Click Here
COLLIN,"748,752",0,0,0.0%,"2,810","2,810",0.38%,Click Here
DENTON,"661,565",0,0,0.0%,"3,607","3,607",0.55%,Click Here
FORT BEND,"555,569",0,0,0.0%,"2,325","2,325",0.42%,Click Here
EL PASO,"521,945",0,0,0.0%,"4,904","4,904",0.94%,Click Here
MONTGOMERY,"453,832",0,0,0.0%,"4,846","4,846",1.07%,Click Here
HIDALGO,"446,417",0,0,0.0%,"2,093","2,093",0.47%,Click Here
WILLIAMSON,"445,326",0,0,0.0%,"2,519","2,519",0.57%,Click Here
BRAZORIA,"249,840",0,0,0.0%,"1,651","1,651",0.66%,Click Here
GALVESTON,"245,695",0,0,0.0%,"2,349","2,349",0.96%,Click Here
BELL,"240,207",0,0,0.0%,"1,281","1,281",0.53%,Click Here
CAMERON,"238,215",0,0,0.0%,"1,529","1,529",0.64%,Click Here
NUECES,"218,753",0,0,0.0%,"2,500","2,500",1.14%,Click Here
LUBBOCK,"197,198",0,0,0.0%,"1,218","1,218",0.62%,Click Here
HAYS,"186,198",0,0,0.0%,"1,868","1,868",1.0%,Click Here
SMITH,"162,009",0,0,0.0%,866,866,0.53%,Click Here
MCLENNAN,"159,331",0,0,0.0%,842,842,0.53%,Click Here
WEBB,"148,536",0,0,0.0%,308,308,0.21%,Click Here
JEFFERSON,"147,938",0,0,0.0%,"1,301","1,301",0.88%,Click Here
ELLIS,"147,399",0,0,0.0%,679,679,0.46%,Click Here
COMAL,"143,696",0,0,0.0%,"1,648","1,648",1.15%,Click Here
BRAZOS,"133,384",0,0,0.0%,"1,237","1,237",0.93%,Click Here
GUADALUPE,"130,489",0,0,0.0%,"1,417","1,417",1.09%,Click Here
JOHNSON,"129,287",0,0,0.0%,405,405,0.31%,Click Here
PARKER,"127,635",0,0,0.0%,"1,090","1,090",0.85%,Click Here
KAUFMAN,"108,165",0,0,0.0%,419,419,0.39%,Click Here
GRAYSON,"100,124",0,0,0.0%,772,772,0.77%,Click Here
RANDALL,"100,105",0,0,0.0%,"1,391","1,391",1.39%,Click Here
MIDLAND,"99,004",0,0,0.0%,287,287,0.29%,Click Here
TAYLOR,"89,791",0,0,0.0%,557,557,0.62%,Click Here
ROCKWALL,"87,932",0,0,0.0%,382,382,0.43%,Click Here
ECTOR,"86,640",0,0,0.0%,509,509,0.59%,Click Here
WICHITA,"79,805",0,0,0.0%,602,602,0.75%,Click Here
GREGG,"76,263",0,0,0.0%,360,360,0.47%,Click Here
HUNT,"72,860",0,0,0.0%,519,519,0.71%,Click Here
TOM GREEN,"72,586",0,0,0.0%,"1,120","1,120",1.54%,Click Here
BOWIE,"62,656",0,0,0.0%,756,756,1.21%,Click Here
BASTROP,"61,403",0,0,0.0%,611,611,1.0%,Click Here
POTTER,"59,681",0,0,0.0%,776,776,1.3%,Click Here
HENDERSON,"59,479",0,0,0.0%,432,432,0.73%,Click Here
VICTORIA,"58,087",0,0,0.0%,"1,420","1,420",2.44%,Click Here
ORANGE,"56,232",0,0,0.0%,554,554,0.99%,Click Here
ANGELINA,"55,965",0,4,0.01%,438,442,0.79%,Click Here
