County,Registered Voters,# In Person On 10/15/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HARRIS,"2,693,055",0,0,0.0%,"17,713","17,713",0.66%,Click Here
DALLAS,"1,467,410",0,0,0.0%,"7,986","7,986",0.54%,Click Here
TARRANT,"1,309,456",0,0,0.0%,"5,523","5,523",0.42%,Click Here
BEXAR,"1,295,580",0,0,0.0%,"6,149","6,149",0.47%,Click Here
TRAVIS,"926,313",0,0,0.0%,"5,406","5,406",0.58%,Click Here
COLLIN,"748,752",0,0,0.0%,"1,874","1,874",0.25%,Click Here
DENTON,"661,565",0,0,0.0%,"2,748","2,748",0.42%,Click Here
FORT BEND,"555,569",0,0,0.0%,896,896,0.16%,Click Here
EL PASO,"521,945",0,0,0.0%,"3,517","3,517",0.67%,Click Here
MONTGOMERY,"453,832",0,0,0.0%,"4,297","4,297",0.95%,Click Here
HIDALGO,"446,417",0,0,0.0%,932,932,0.21%,Click Here
WILLIAMSON,"445,326",0,0,0.0%,"1,067","1,067",0.24%,Click Here
BRAZORIA,"249,840",0,0,0.0%,"1,633","1,633",0.65%,Click Here
GALVESTON,"245,695",0,0,0.0%,"1,845","1,845",0.75%,Click Here
BELL,"240,207",0,0,0.0%,472,472,0.2%,Click Here
CAMERON,"238,215",0,0,0.0%,"1,006","1,006",0.42%,Click Here
NUECES,"218,753",0,0,0.0%,"1,302","1,302",0.6%,Click Here
LUBBOCK,"197,198",0,0,0.0%,666,666,0.34%,Click Here
HAYS,"186,198",0,0,0.0%,"1,608","1,608",0.86%,Click Here
SMITH,"162,009",0,0,0.0%,380,380,0.23%,Click Here
MCLENNAN,"159,331",0,0,0.0%,718,718,0.45%,Click Here
WEBB,"148,536",0,0,0.0%,143,143,0.1%,Click Here
JEFFERSON,"147,938",0,0,0.0%,826,826,0.56%,Click Here
ELLIS,"147,399",0,0,0.0%,514,514,0.35%,Click Here
COMAL,"143,696",0,0,0.0%,"1,245","1,245",0.87%,Click Here
BRAZOS,"133,384",0,0,0.0%,"1,088","1,088",0.82%,Click Here
GUADALUPE,"130,489",0,0,0.0%,"1,281","1,281",0.98%,Click Here
JOHNSON,"129,287",0,0,0.0%,356,356,0.28%,Click Here
PARKER,"127,635",0,0,0.0%,958,958,0.75%,Click Here
KAUFMAN,"108,165",0,0,0.0%,419,419,0.39%,Click Here
GRAYSON,"100,124",0,0,0.0%,373,373,0.37%,Click Here
RANDALL,"100,105",0,0,0.0%,"1,231","1,231",1.23%,Click Here
MIDLAND,"99,004",0,0,0.0%,273,273,0.28%,Click Here
TAYLOR,"89,791",0,0,0.0%,557,557,0.62%,Click Here
ROCKWALL,"87,932",0,0,0.0%,246,246,0.28%,Click Here
ECTOR,"86,640",0,0,0.0%,367,367,0.42%,Click Here
WICHITA,"79,805",0,0,0.0%,533,533,0.67%,Click Here
GREGG,"76,263",0,0,0.0%,346,346,0.45%,Click Here
HUNT,"72,860",0,0,0.0%,494,494,0.68%,Click Here
TOM GREEN,"72,586",0,0,0.0%,991,991,1.37%,Click Here
BOWIE,"62,656",0,0,0.0%,684,684,1.09%,Click Here
BASTROP,"61,403",0,0,0.0%,536,536,0.87%,Click Here
POTTER,"59,681",0,0,0.0%,644,644,1.08%,Click Here
HENDERSON,"59,479",0,0,0.0%,312,312,0.52%,Click Here
VICTORIA,"58,087",0,0,0.0%,"1,312","1,312",2.26%,Click Here
ORANGE,"56,232",0,0,0.0%,479,479,0.85%,Click Here
ANGELINA,"55,965",0,4,0.01%,402,406,0.73%,Click Here
WISE,"55,864",0,0,0.0%,278,278,0.5%,Click Here
LIBERTY,"54,530",0,0,0.0%,233,233,0.43%,Click Here
HOOD,"51,704",0,0,0.0%,607,607,1.17%,Click Here
HARRISON,"47,283",0,0,0.0%,280,280,0.59%,Click Here
CORYELL,"46,995",0,0,0.0%,324,324,0.69%,Click Here
SAN PATRICIO,"45,265",0,0,0.0%,288,288,0.64%,Click Here
WALLER,"44,330",0,0,0.0%,12,12,0.03%,Click Here
POLK,"44,308",0,0,0.0%,"1,072","1,072",2.42%,Click Here
HARDIN,"43,116",0,0,0.0%,180,180,0.42%,Click Here
VAN ZANDT,"41,749",0,0,0.0%,25,25,0.06%,Click Here
KERR,"40,065",0,0,0.0%,485,485,1.21%,Click Here
NACOGDOCHES,"40,051",0,0,0.0%,527,527,1.32%,Click Here
BURNET,"39,186",0,0,0.0%,608,608,1.55%,Click Here
WILSON,"39,092",0,0,0.0%,124,124,0.32%,Click Here
KENDALL,"38,959",0,0,0.0%,505,505,1.3%,Click Here
WALKER,"38,958",0,0,0.0%,40,40,0.1%,Click Here
MEDINA,"38,525",0,0,0.0%,238,238,0.62%,Click Here
CHAMBERS,"37,026",0,0,0.0%,95,95,0.26%,Click Here
STARR,"36,420",0,0,0.0%,71,71,0.19%,Click Here
MAVERICK,"35,947",0,0,0.0%,7,7,0.02%,Click Here
WOOD,"35,589",0,1,0.0%,235,236,0.66%,Click Here
RUSK,"34,277",0,0,0.0%,210,210,0.61%,Click Here
LAMAR,"33,110",0,0,0.0%,256,256,0.77%,Click Here
NAVARRO,"32,955",0,0,0.0%,95,95,0.29%,Click Here
ATASCOSA,"32,142",0,0,0.0%,110,110,0.34%,Click Here
CHEROKEE,"32,121",0,0,0.0%,202,202,0.63%,Click Here
ANDERSON,"30,613",0,0,0.0%,164,164,0.54%,Click Here
UPSHUR,"30,374",0,0,0.0%,278,278,0.92%,Click Here
COOKE,"30,193",0,0,0.0%,251,251,0.83%,Click Here
VAL VERDE,"30,117",0,0,0.0%,272,272,0.9%,Click Here
CALDWELL,"27,097",0,0,0.0%,76,76,0.28%,Click Here
HILL,"26,589",0,0,0.0%,0,0,0.0%,Click Here
WHARTON,"26,422",0,0,0.0%,140,140,0.53%,Click Here
JIM WELLS,"26,414",0,0,0.0%,11,11,0.04%,Click Here
ERATH,"25,961",0,0,0.0%,65,65,0.25%,Click Here
WASHINGTON,"25,794",0,0,0.0%,13,13,0.05%,Click Here
BROWN,"25,500",0,0,0.0%,290,290,1.14%,Click Here
HOPKINS,"25,383",0,0,0.0%,140,140,0.55%,Click Here
FANNIN,"24,942",0,0,0.0%,319,319,1.28%,Click Here
JASPER,"24,496",0,0,0.0%,90,90,0.37%,Click Here
MATAGORDA,"22,394",0,0,0.0%,82,82,0.37%,Click Here
AUSTIN,"22,116",0,0,0.0%,84,84,0.38%,Click Here
GILLESPIE,"21,884",0,0,0.0%,398,398,1.82%,Click Here
CASS,"21,812",0,0,0.0%,344,344,1.58%,Click Here
GRIMES,"21,080",0,0,0.0%,26,26,0.12%,Click Here
SAN JACINTO,"20,406",0,0,0.0%,19,19,0.09%,Click Here
PALO PINTO,"20,351",0,0,0.0%,242,242,1.19%,Click Here
ARANSAS,"19,849",0,0,0.0%,275,275,1.39%,Click Here
BANDERA,"19,026",0,0,0.0%,89,89,0.47%,Click Here
KLEBERG,"18,689",0,0,0.0%,22,22,0.12%,Click Here
LLANO,"18,455",0,0,0.0%,383,383,2.08%,Click Here
FAYETTE,"18,353",0,0,0.0%,273,273,1.49%,Click Here
HALE,"18,272",0,0,0.0%,98,98,0.54%,Click Here
TITUS,"18,026",0,0,0.0%,0,0,0.0%,Click Here
UVALDE,"17,929",0,0,0.0%,128,128,0.71%,Click Here
PANOLA,"17,836",0,0,0.0%,185,185,1.04%,Click Here
MILAM,"17,208",0,0,0.0%,140,140,0.81%,Click Here
HOWARD,"17,198",0,0,0.0%,246,246,1.43%,Click Here
LAMPASAS,"16,913",0,0,0.0%,161,161,0.95%,Click Here
SHELBY,"16,355",0,0,0.0%,34,34,0.21%,Click Here
BEE,"15,979",0,0,0.0%,198,198,1.24%,Click Here
MONTAGUE,"15,649",0,0,0.0%,126,126,0.81%,Click Here
TYLER,"14,888",0,0,0.0%,2,2,0.01%,Click Here
COLORADO,"14,775",0,0,0.0%,173,173,1.17%,Click Here
LIMESTONE,"14,443",0,0,0.0%,119,119,0.82%,Click Here
LAVACA,"14,389",0,0,0.0%,1,1,0.01%,Click Here
HOCKLEY,"13,984",0,0,0.0%,65,65,0.46%,Click Here
HOUSTON,"13,901",0,0,0.0%,212,212,1.53%,Click Here
BURLESON,"13,840",0,0,0.0%,179,179,1.29%,Click Here
BOSQUE,"13,638",0,0,0.0%,55,55,0.4%,Click Here
HUTCHINSON,"13,442",0,0,0.0%,89,89,0.66%,Click Here
FREESTONE,"13,406",0,0,0.0%,1,1,0.01%,Click Here
CALHOUN,"13,223",0,0,0.0%,100,100,0.76%,Click Here
GONZALES,"13,174",0,0,0.0%,66,66,0.5%,Click Here
LEON,"12,654",0,0,0.0%,160,160,1.26%,Click Here
ROBERTSON,"12,600",0,0,0.0%,9,9,0.07%,Click Here
EASTLAND,"12,520",0,0,0.0%,174,174,1.39%,Click Here
YOUNG,"12,394",0,0,0.0%,0,0,0.0%,Click Here
GRAY,"12,317",0,0,0.0%,159,159,1.29%,Click Here
TRINITY,"12,283",0,11,0.09%,43,54,0.44%,Click Here
LEE,"12,168",0,0,0.0%,50,50,0.41%,Click Here
WILLACY,"11,637",0,0,0.0%,0,0,0.0%,Click Here
DEWITT,"11,357",0,0,0.0%,158,158,1.39%,Click Here
BLANCO,"11,014",0,0,0.0%,79,79,0.72%,Click Here
JONES,"10,883",0,0,0.0%,135,135,1.24%,Click Here
ANDREWS,"10,739",0,0,0.0%,45,45,0.42%,Click Here
FALLS,"10,562",0,0,0.0%,0,0,0.0%,Click Here
GAINES,"10,467",0,0,0.0%,35,35,0.33%,Click Here
CALLAHAN,"10,439",0,0,0.0%,4,4,0.04%,Click Here
MOORE,"10,130",0,0,0.0%,48,48,0.47%,Click Here
COMANCHE,"10,022",0,0,0.0%,96,96,0.96%,Click Here
JACKSON,"9,894",0,0,0.0%,1,1,0.01%,Click Here
FRIO,"9,526",0,0,0.0%,8,8,0.08%,Click Here
NEWTON,"9,486",0,0,0.0%,2,2,0.02%,Click Here
RAINS,"9,404",0,0,0.0%,48,48,0.51%,Click Here
SCURRY,"9,366",0,0,0.0%,33,33,0.35%,Click Here
MORRIS,"8,948",0,0,0.0%,57,57,0.64%,Click Here
