County,Registered Voters,# In Person On 10/15/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
DEAF SMITH,"8,756",0,0,0.0%,71,71,0.81%,Click Here
RED RIVER,"8,746",0,0,0.0%,70,70,0.8%,Click Here
NOLAN,"8,494",0,0,0.0%,40,40,0.47%,Click Here
MADISON,"8,471",0,0,0.0%,1,1,0.01%,Click Here
KARNES,"8,449",0,0,0.0%,119,119,1.41%,Click Here
SABINE,"8,446",0,0,0.0%,108,108,1.28%,Click Here
CAMP,"8,424",0,0,0.0%,72,72,0.85%,Click Here
PECOS,"8,328",0,0,0.0%,0,0,0.0%,Click Here
CLAY,"8,291",0,0,0.0%,71,71,0.86%,Click Here
WILBARGER,"8,126",0,0,0.0%,101,101,1.24%,Click Here
ZAPATA,"8,117",0,0,0.0%,0,0,0.0%,Click Here
DUVAL,"8,031",0,0,0.0%,56,56,0.7%,Click Here
LAMB,"7,883",0,0,0.0%,2,2,0.03%,Click Here
REEVES,"7,838",0,0,0.0%,68,68,0.87%,Click Here
MARION,"7,822",0,0,0.0%,10,10,0.13%,Click Here
ZAVALA,"7,810",0,0,0.0%,9,9,0.12%,Click Here
LIVE OAK,"7,774",0,0,0.0%,55,55,0.71%,Click Here
FRANKLIN,"7,599",0,0,0.0%,63,63,0.83%,Click Here
SOMERVELL,"7,420",0,0,0.0%,15,15,0.2%,Click Here
BREWSTER,"7,408",0,0,0.0%,102,102,1.38%,Click Here
WARD,"7,047",0,0,0.0%,1,1,0.01%,Click Here
ARCHER,"7,008",0,0,0.0%,34,34,0.49%,Click Here
RUNNELS,"6,807",0,0,0.0%,25,25,0.37%,Click Here
DAWSON,"6,776",0,0,0.0%,2,2,0.03%,Click Here
DIMMIT,"6,706",0,0,0.0%,63,63,0.94%,Click Here
TERRY,"6,412",0,0,0.0%,56,56,0.87%,Click Here
HAMILTON,"6,260",0,0,0.0%,41,41,0.65%,Click Here
COLEMAN,"6,139",0,0,0.0%,46,46,0.75%,Click Here
SAN AUGUSTINE,"6,038",0,0,0.0%,51,51,0.84%,Click Here
STEPHENS,"5,881",0,0,0.0%,28,28,0.48%,Click Here
JACK,"5,857",0,0,0.0%,50,50,0.85%,Click Here
GOLIAD,"5,833",0,0,0.0%,43,43,0.74%,Click Here
MCCULLOCH,"5,424",0,0,0.0%,42,42,0.77%,Click Here
OCHILTREE,"5,201",0,0,0.0%,52,52,1.0%,Click Here
BROOKS,"4,945",0,0,0.0%,59,59,1.19%,Click Here
REFUGIO,"4,938",0,0,0.0%,14,14,0.28%,Click Here
PARMER,"4,549",0,0,0.0%,7,7,0.15%,Click Here
MITCHELL,"4,526",0,0,0.0%,23,23,0.51%,Click Here
PRESIDIO,"4,429",0,0,0.0%,11,11,0.25%,Click Here
LYNN,"4,385",0,0,0.0%,14,14,0.32%,Click Here
CARSON,"4,297",0,0,0.0%,31,31,0.72%,Click Here
YOAKUM,"4,289",0,0,0.0%,18,18,0.42%,Click Here
LASALLE,"4,210",0,0,0.0%,141,141,3.35%,Click Here
DELTA,"4,112",0,0,0.0%,75,75,1.82%,Click Here
WINKLER,"4,086",0,0,0.0%,1,1,0.02%,Click Here
SWISHER,"3,900",0,0,0.0%,55,55,1.41%,Click Here
CHILDRESS,"3,804",0,0,0.0%,23,23,0.6%,Click Here
SAN SABA,"3,795",0,0,0.0%,13,13,0.34%,Click Here
CASTRO,"3,694",0,0,0.0%,0,0,0.0%,Click Here
FLOYD,"3,660",0,0,0.0%,34,34,0.93%,Click Here
CROSBY,"3,638",0,0,0.0%,14,14,0.38%,Click Here
MILLS,"3,626",0,0,0.0%,47,47,1.3%,Click Here
JIM HOGG,"3,548",0,0,0.0%,6,6,0.17%,Click Here
MARTIN,"3,497",0,0,0.0%,7,7,0.2%,Click Here
HASKELL,"3,442",0,0,0.0%,15,15,0.44%,Click Here
WHEELER,"3,408",0,0,0.0%,57,57,1.67%,Click Here
KIMBLE,"3,318",0,0,0.0%,28,28,0.84%,Click Here
MASON,"3,278",0,0,0.0%,37,37,1.13%,Click Here
BAILEY,"3,172",0,0,0.0%,23,23,0.73%,Click Here
HANSFORD,"3,002",0,0,0.0%,31,31,1.03%,Click Here
DALLAM,"2,873",0,0,0.0%,46,46,1.6%,Click Here
HARTLEY,"2,846",0,0,0.0%,39,39,1.37%,Click Here
FISHER,"2,705",0,0,0.0%,35,35,1.29%,Click Here
REAL,"2,698",0,0,0.0%,19,19,0.7%,Click Here
CRANE,"2,674",0,0,0.0%,9,9,0.34%,Click Here
GARZA,"2,651",0,6,0.23%,11,17,0.64%,Click Here
COKE,"2,460",0,0,0.0%,49,49,1.99%,Click Here
SHACKELFORD,"2,439",0,0,0.0%,38,38,1.56%,Click Here
BAYLOR,"2,430",0,0,0.0%,0,0,0.0%,Click Here
DONLEY,"2,414",0,0,0.0%,14,14,0.58%,Click Here
HARDEMAN,"2,388",0,0,0.0%,11,11,0.46%,Click Here
SUTTON,"2,348",0,0,0.0%,7,7,0.3%,Click Here
HEMPHILL,"2,347",0,0,0.0%,23,23,0.98%,Click Here
CROCKETT,"2,289",0,0,0.0%,15,15,0.66%,Click Here
KNOX,"2,230",0,0,0.0%,0,0,0.0%,Click Here
HUDSPETH,"2,212",0,0,0.0%,3,3,0.14%,Click Here
KINNEY,"2,175",0,0,0.0%,6,6,0.28%,Click Here
UPTON,"2,114",0,0,0.0%,5,5,0.24%,Click Here
COLLINGSWORTH,"1,887",0,0,0.0%,30,30,1.59%,Click Here
HALL,"1,886",0,0,0.0%,12,12,0.64%,Click Here
LIPSCOMB,"1,818",0,0,0.0%,75,75,4.13%,Click Here
REAGAN,"1,803",0,0,0.0%,2,2,0.11%,Click Here
CONCHO,"1,795",0,0,0.0%,31,31,1.73%,Click Here
SCHLEICHER,"1,732",0,0,0.0%,4,4,0.23%,Click Here
CULBERSON,"1,707",0,0,0.0%,0,0,0.0%,Click Here
COCHRAN,"1,676",0,0,0.0%,25,25,1.49%,Click Here
JEFF DAVIS,"1,574",0,0,0.0%,14,14,0.89%,Click Here
MENARD,"1,516",0,0,0.0%,6,6,0.4%,Click Here
EDWARDS,"1,496",0,0,0.0%,2,2,0.13%,Click Here
SHERMAN,"1,448",0,0,0.0%,15,15,1.04%,Click Here
DICKENS,"1,433",0,0,0.0%,16,16,1.12%,Click Here
ARMSTRONG,"1,429",0,0,0.0%,8,8,0.56%,Click Here
OLDHAM,"1,340",0,0,0.0%,12,12,0.9%,Click Here
IRION,"1,230",0,0,0.0%,2,2,0.16%,Click Here
THROCKMORTON,"1,217",0,0,0.0%,5,5,0.41%,Click Here
BRISCOE,"1,037",0,0,0.0%,10,10,0.96%,Click Here
COTTLE,994,0,0,0.0%,5,5,0.5%,Click Here
STONEWALL,955,0,0,0.0%,0,0,0.0%,Click Here
STERLING,892,0,0,0.0%,2,2,0.22%,Click Here
MOTLEY,849,0,0,0.0%,18,18,2.12%,Click Here
GLASSCOCK,840,0,0,0.0%,11,11,1.31%,Click Here
FOARD,801,0,0,0.0%,0,0,0.0%,Click Here
ROBERTS,722,0,0,0.0%,11,11,1.52%,Click Here
MCMULLEN,629,0,0,0.0%,0,0,0.0%,Click Here
TERRELL,626,0,0,0.0%,6,6,0.96%,Click Here
KENT,602,0,0,0.0%,0,0,0.0%,Click Here
BORDEN,487,0,0,0.0%,0,0,0.0%,Click Here
KENEDY,270,0,0,0.0%,0,0,0.0%,Click Here
KING,165,0,0,0.0%,1,1,0.61%,Click Here
LOVING,126,0,0,0.0%,0,0,0.0%,Click Here
TOTAL,"18,623,931",0,22,0.0%,"102,527","102,549",0.55%,
