County,Registered Voters,# In Person On 10/03/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
GILLESPIE,"21,884",0,0,0.0%,151,151,0.69%,Click Here
CASS,"21,812",0,0,0.0%,220,220,1.01%,Click Here
GRIMES,"20,848",0,0,0.0%,0,0,0.0%,Click Here
SAN JACINTO,"20,406",0,0,0.0%,0,0,0.0%,Click Here
PALO PINTO,"20,351",0,0,0.0%,125,125,0.61%,Click Here
ARANSAS,"19,849",0,0,0.0%,96,96,0.48%,Click Here
BANDERA,"19,026",0,0,0.0%,6,6,0.03%,Click Here
KLEBERG,"18,689",0,0,0.0%,3,3,0.02%,Click Here
LLANO,"18,455",0,0,0.0%,142,142,0.77%,Click Here
FAYETTE,"18,353",0,0,0.0%,142,142,0.77%,Click Here
HALE,"18,272",0,0,0.0%,32,32,0.18%,Click Here
TITUS,"17,949",0,0,0.0%,0,0,0.0%,Click Here
UVALDE,"17,929",0,0,0.0%,26,26,0.15%,Click Here
PANOLA,"17,836",0,0,0.0%,102,102,0.57%,Click Here
MILAM,"17,208",0,0,0.0%,22,22,0.13%,Click Here
HOWARD,"17,198",0,0,0.0%,122,122,0.71%,Click Here
LAMPASAS,"16,913",0,0,0.0%,12,12,0.07%,Click Here
SHELBY,"16,320",0,0,0.0%,0,0,0.0%,Click Here
BEE,"15,979",0,0,0.0%,72,72,0.45%,Click Here
MONTAGUE,"15,649",0,0,0.0%,27,27,0.17%,Click Here
TYLER,"14,888",0,0,0.0%,1,1,0.01%,Click Here
COLORADO,"14,775",0,0,0.0%,65,65,0.44%,Click Here
LIMESTONE,"14,443",0,0,0.0%,25,25,0.17%,Click Here
LAVACA,"14,431",0,0,0.0%,0,0,0.0%,Click Here
HOCKLEY,"13,984",0,0,0.0%,0,0,0.0%,Click Here
HOUSTON,"13,901",0,0,0.0%,21,21,0.15%,Click Here
BURLESON,"13,840",0,0,0.0%,48,48,0.35%,Click Here
BOSQUE,"13,638",0,0,0.0%,1,1,0.01%,Click Here
HUTCHINSON,"13,442",0,0,0.0%,0,0,0.0%,Click Here
FREESTONE,"13,406",0,0,0.0%,1,1,0.01%,Click Here
CALHOUN,"13,223",0,0,0.0%,59,59,0.45%,Click Here
GONZALES,"13,174",0,0,0.0%,0,0,0.0%,Click Here
LEON,"12,654",0,0,0.0%,67,67,0.53%,Click Here
ROBERTSON,"12,600",0,0,0.0%,4,4,0.03%,Click Here
EASTLAND,"12,520",0,0,0.0%,21,21,0.17%,Click Here
YOUNG,"12,347",0,0,0.0%,0,0,0.0%,Click Here
GRAY,"12,317",0,0,0.0%,66,66,0.54%,Click Here
TRINITY,"12,283",0,11,0.09%,1,12,0.1%,Click Here
LEE,"12,168",0,0,0.0%,2,2,0.02%,Click Here
WILLACY,"11,637",0,0,0.0%,0,0,0.0%,Click Here
DEWITT,"11,357",0,0,0.0%,70,70,0.62%,Click Here
BLANCO,"11,014",0,0,0.0%,3,3,0.03%,Click Here
JONES,"10,883",0,0,0.0%,72,72,0.66%,Click Here
ANDREWS,"10,739",0,0,0.0%,26,26,0.24%,Click Here
FALLS,"10,562",0,0,0.0%,3,3,0.03%,Click Here
GAINES,"10,467",0,0,0.0%,17,17,0.16%,Click Here
CALLAHAN,"10,439",0,0,0.0%,16,16,0.15%,Click Here
MOORE,"10,130",0,0,0.0%,15,15,0.15%,Click Here
COMANCHE,"10,022",0,0,0.0%,20,20,0.2%,Click Here
JACKSON,"9,894",0,0,0.0%,0,0,0.0%,Click Here
