County,Registered Voters,# In Person On 10/19/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HARRIS,"2,693,055",0,0,0.0%,"23,831","23,831",0.88%,Click Here
DALLAS,"1,467,410",0,0,0.0%,"12,424","12,424",0.85%,Click Here
TARRANT,"1,309,456",0,0,0.0%,"12,364","12,364",0.94%,Click Here
BEXAR,"1,295,580",0,0,0.0%,"11,305","11,305",0.87%,Click Here
TRAVIS,"926,313",0,0,0.0%,"8,784","8,784",0.95%,Click Here
COLLIN,"748,752",0,0,0.0%,"3,763","3,763",0.5%,Click Here
DENTON,"661,565",0,0,0.0%,"4,775","4,775",0.72%,Click Here
FORT BEND,"555,569",0,0,0.0%,"2,907","2,907",0.52%,Click Here
EL PASO,"521,945",0,0,0.0%,"5,193","5,193",0.99%,Click Here
MONTGOMERY,"453,832",0,0,0.0%,"5,243","5,243",1.16%,Click Here
HIDALGO,"446,417",0,0,0.0%,"2,197","2,197",0.49%,Click Here
WILLIAMSON,"445,326",0,0,0.0%,"3,130","3,130",0.7%,Click Here
BRAZORIA,"249,840",0,0,0.0%,"1,660","1,660",0.66%,Click Here
GALVESTON,"245,695",0,0,0.0%,"2,603","2,603",1.06%,Click Here
BELL,"240,207",0,0,0.0%,"1,609","1,609",0.67%,Click Here
CAMERON,"238,215",0,0,0.0%,"1,702","1,702",0.71%,Click Here
NUECES,"218,753",0,0,0.0%,"2,958","2,958",1.35%,Click Here
LUBBOCK,"197,198",0,0,0.0%,"1,356","1,356",0.69%,Click Here
HAYS,"186,198",0,0,0.0%,"2,006","2,006",1.08%,Click Here
SMITH,"162,009",0,0,0.0%,"1,320","1,320",0.81%,Click Here
MCLENNAN,"159,331",0,0,0.0%,"1,502","1,502",0.94%,Click Here
WEBB,"148,536",0,0,0.0%,462,462,0.31%,Click Here
JEFFERSON,"147,938",0,0,0.0%,"1,827","1,827",1.23%,Click Here
ELLIS,"147,399",0,0,0.0%,788,788,0.53%,Click Here
COMAL,"143,696",0,0,0.0%,"1,672","1,672",1.16%,Click Here
BRAZOS,"133,384",0,0,0.0%,"1,348","1,348",1.01%,Click Here
GUADALUPE,"130,489",0,0,0.0%,"1,471","1,471",1.13%,Click Here
JOHNSON,"129,287",0,0,0.0%,438,438,0.34%,Click Here
PARKER,"127,635",0,0,0.0%,"1,274","1,274",1.0%,Click Here
KAUFMAN,"108,165",0,0,0.0%,589,589,0.54%,Click Here
GRAYSON,"100,124",0,0,0.0%,774,774,0.77%,Click Here
RANDALL,"100,105",0,0,0.0%,"1,503","1,503",1.5%,Click Here
MIDLAND,"99,004",0,0,0.0%,452,452,0.46%,Click Here
TAYLOR,"89,791",0,0,0.0%,738,738,0.82%,Click Here
ROCKWALL,"87,932",0,0,0.0%,487,487,0.55%,Click Here
ECTOR,"86,640",0,0,0.0%,645,645,0.74%,Click Here
WICHITA,"79,805",0,0,0.0%,680,680,0.85%,Click Here
GREGG,"76,263",0,0,0.0%,538,538,0.71%,Click Here
HUNT,"72,860",0,0,0.0%,541,541,0.74%,Click Here
TOM GREEN,"72,586",0,0,0.0%,"1,195","1,195",1.65%,Click Here
BOWIE,"62,656",0,0,0.0%,804,804,1.28%,Click Here
BASTROP,"61,403",0,0,0.0%,671,671,1.09%,Click Here
POTTER,"59,681",0,0,0.0%,805,805,1.35%,Click Here
HENDERSON,"59,479",0,0,0.0%,572,572,0.96%,Click Here
VICTORIA,"58,087",0,0,0.0%,"1,420","1,420",2.44%,Click Here
ORANGE,"56,232",0,0,0.0%,554,554,0.99%,Click Here
ANGELINA,"55,965",0,4,0.01%,577,581,1.04%,Click Here
WISE,"55,864",0,0,0.0%,399,399,0.71%,Click Here
LIBERTY,"54,530",0,0,0.0%,304,304,0.56%,Click Here
HOOD,"51,704",0,0,0.0%,708,708,1.37%,Click Here
HARRISON,"47,283",0,0,0.0%,403,403,0.85%,Click Here
CORYELL,"46,995",0,0,0.0%,409,409,0.87%,Click Here
SAN PATRICIO,"45,265",0,0,0.0%,381,381,0.84%,Click Here
WALLER,"44,330",0,0,0.0%,65,65,0.15%,Click Here
POLK,"44,308",0,0,0.0%,"1,296","1,296",2.92%,Click Here
HARDIN,"43,116",0,0,0.0%,235,235,0.55%,Click Here
VAN ZANDT,"41,749",0,0,0.0%,119,119,0.29%,Click Here
KERR,"40,065",0,0,0.0%,700,700,1.75%,Click Here
NACOGDOCHES,"40,051",0,0,0.0%,634,634,1.58%,Click Here
BURNET,"39,186",0,0,0.0%,890,890,2.27%,Click Here
WILSON,"39,092",0,0,0.0%,355,355,0.91%,Click Here
KENDALL,"38,959",0,0,0.0%,704,704,1.81%,Click Here
WALKER,"38,958",0,0,0.0%,178,178,0.46%,Click Here
MEDINA,"38,525",0,0,0.0%,319,319,0.83%,Click Here
CHAMBERS,"37,026",0,0,0.0%,114,114,0.31%,Click Here
STARR,"36,420",0,0,0.0%,98,98,0.27%,Click Here
MAVERICK,"35,947",0,0,0.0%,103,103,0.29%,Click Here
WOOD,"35,589",0,1,0.0%,235,236,0.66%,Click Here
RUSK,"34,277",0,0,0.0%,380,380,1.11%,Click Here
LAMAR,"33,110",0,0,0.0%,358,358,1.08%,Click Here
NAVARRO,"32,955",0,0,0.0%,168,168,0.51%,Click Here
ATASCOSA,"32,142",0,0,0.0%,164,164,0.51%,Click Here
CHEROKEE,"32,121",0,0,0.0%,256,256,0.8%,Click Here
