County,Registered Voters,# In Person On 10/06/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HARRIS,"2,693,055",0,0,0.0%,"3,296","3,296",0.12%,Click Here
DALLAS,"1,467,410",0,0,0.0%,484,484,0.03%,Click Here
TARRANT,"1,309,456",0,0,0.0%,236,236,0.02%,Click Here
BEXAR,"1,295,580",0,0,0.0%,252,252,0.02%,Click Here
TRAVIS,"926,313",0,0,0.0%,236,236,0.03%,Click Here
COLLIN,"748,752",0,0,0.0%,301,301,0.04%,Click Here
DENTON,"661,565",0,0,0.0%,635,635,0.1%,Click Here
FORT BEND,"555,569",0,0,0.0%,73,73,0.01%,Click Here
EL PASO,"521,945",0,0,0.0%,895,895,0.17%,Click Here
MONTGOMERY,"453,832",0,0,0.0%,"1,443","1,443",0.32%,Click Here
WILLIAMSON,"445,326",0,0,0.0%,75,75,0.02%,Click Here
HIDALGO,"442,759",0,0,0.0%,0,0,0.0%,Click Here
BRAZORIA,"249,840",0,0,0.0%,572,572,0.23%,Click Here
GALVESTON,"245,695",0,0,0.0%,230,230,0.09%,Click Here
BELL,"240,207",0,0,0.0%,71,71,0.03%,Click Here
CAMERON,"238,215",0,0,0.0%,8,8,0.0%,Click Here
NUECES,"218,753",0,0,0.0%,16,16,0.01%,Click Here
LUBBOCK,"197,198",0,0,0.0%,1,1,0.0%,Click Here
HAYS,"186,198",0,0,0.0%,670,670,0.36%,Click Here
SMITH,"162,009",0,0,0.0%,20,20,0.01%,Click Here
MCLENNAN,"159,331",0,0,0.0%,21,21,0.01%,Click Here
WEBB,"148,536",0,0,0.0%,24,24,0.02%,Click Here
JEFFERSON,"147,938",0,0,0.0%,13,13,0.01%,Click Here
ELLIS,"147,399",0,0,0.0%,31,31,0.02%,Click Here
COMAL,"143,696",0,0,0.0%,106,106,0.07%,Click Here
BRAZOS,"133,384",0,0,0.0%,344,344,0.26%,Click Here
GUADALUPE,"130,489",0,0,0.0%,538,538,0.41%,Click Here
JOHNSON,"129,287",0,0,0.0%,185,185,0.14%,Click Here
PARKER,"127,635",0,0,0.0%,342,342,0.27%,Click Here
KAUFMAN,"106,171",0,0,0.0%,0,0,0.0%,Click Here
GRAYSON,"100,124",0,0,0.0%,2,2,0.0%,Click Here
RANDALL,"100,105",0,0,0.0%,619,619,0.62%,Click Here
MIDLAND,"99,004",0,0,0.0%,21,21,0.02%,Click Here
TAYLOR,"89,791",0,0,0.0%,0,0,0.0%,Click Here
ROCKWALL,"87,932",0,0,0.0%,6,6,0.01%,Click Here
ECTOR,"86,640",0,0,0.0%,72,72,0.08%,Click Here
WICHITA,"79,805",0,0,0.0%,88,88,0.11%,Click Here
GREGG,"76,263",0,0,0.0%,8,8,0.01%,Click Here
HUNT,"72,860",0,0,0.0%,175,175,0.24%,Click Here
TOM GREEN,"72,586",0,0,0.0%,637,637,0.88%,Click Here
BOWIE,"62,656",0,0,0.0%,252,252,0.4%,Click Here
BASTROP,"61,403",0,0,0.0%,212,212,0.35%,Click Here
POTTER,"59,681",0,0,0.0%,221,221,0.37%,Click Here
HENDERSON,"59,479",0,0,0.0%,4,4,0.01%,Click Here
