County,Registered Voters,# In Person On 10/10/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HARRIS,"2,693,055",0,0,0.0%,"12,829","12,829",0.48%,Click Here
DALLAS,"1,467,410",0,0,0.0%,"4,965","4,965",0.34%,Click Here
TARRANT,"1,309,456",0,0,0.0%,"2,275","2,275",0.17%,Click Here
BEXAR,"1,295,580",0,0,0.0%,"2,752","2,752",0.21%,Click Here
TRAVIS,"926,313",0,0,0.0%,"1,553","1,553",0.17%,Click Here
COLLIN,"748,752",0,0,0.0%,526,526,0.07%,Click Here
DENTON,"661,565",0,0,0.0%,"1,780","1,780",0.27%,Click Here
FORT BEND,"555,569",0,0,0.0%,376,376,0.07%,Click Here
EL PASO,"521,945",0,0,0.0%,"2,321","2,321",0.44%,Click Here
MONTGOMERY,"453,832",0,0,0.0%,"3,232","3,232",0.71%,Click Here
HIDALGO,"446,417",0,0,0.0%,453,453,0.1%,Click Here
WILLIAMSON,"445,326",0,0,0.0%,205,205,0.05%,Click Here
BRAZORIA,"249,840",0,0,0.0%,"1,196","1,196",0.48%,Click Here
GALVESTON,"245,695",0,0,0.0%,"1,283","1,283",0.52%,Click Here
BELL,"240,207",0,0,0.0%,125,125,0.05%,Click Here
CAMERON,"238,215",0,0,0.0%,375,375,0.16%,Click Here
NUECES,"218,753",0,0,0.0%,552,552,0.25%,Click Here
LUBBOCK,"197,198",0,0,0.0%,395,395,0.2%,Click Here
HAYS,"186,198",0,0,0.0%,"1,212","1,212",0.65%,Click Here
SMITH,"162,009",0,0,0.0%,107,107,0.07%,Click Here
MCLENNAN,"159,331",0,0,0.0%,256,256,0.16%,Click Here
WEBB,"148,536",0,0,0.0%,24,24,0.02%,Click Here
JEFFERSON,"147,938",0,0,0.0%,35,35,0.02%,Click Here
ELLIS,"147,399",0,0,0.0%,201,201,0.14%,Click Here
COMAL,"143,696",0,0,0.0%,746,746,0.52%,Click Here
BRAZOS,"133,384",0,0,0.0%,790,790,0.59%,Click Here
GUADALUPE,"130,489",0,0,0.0%,"1,077","1,077",0.83%,Click Here
JOHNSON,"129,287",0,0,0.0%,293,293,0.23%,Click Here
PARKER,"127,635",0,0,0.0%,813,813,0.64%,Click Here
KAUFMAN,"108,165",0,0,0.0%,344,344,0.32%,Click Here
GRAYSON,"100,124",0,0,0.0%,7,7,0.01%,Click Here
RANDALL,"100,105",0,0,0.0%,948,948,0.95%,Click Here
MIDLAND,"99,004",0,0,0.0%,160,160,0.16%,Click Here
TAYLOR,"89,791",0,0,0.0%,3,3,0.0%,Click Here
ROCKWALL,"87,932",0,0,0.0%,49,49,0.06%,Click Here
ECTOR,"86,640",0,0,0.0%,274,274,0.32%,Click Here
WICHITA,"79,805",0,0,0.0%,299,299,0.37%,Click Here
GREGG,"76,263",0,0,0.0%,154,154,0.2%,Click Here
HUNT,"72,860",0,0,0.0%,377,377,0.52%,Click Here
TOM GREEN,"72,586",0,0,0.0%,949,949,1.31%,Click Here
BOWIE,"62,656",0,0,0.0%,543,543,0.87%,Click Here
BASTROP,"61,403",0,0,0.0%,423,423,0.69%,Click Here
POTTER,"59,681",0,0,0.0%,470,470,0.79%,Click Here
HENDERSON,"59,479",0,0,0.0%,119,119,0.2%,Click Here
VICTORIA,"58,087",0,0,0.0%,"1,132","1,132",1.95%,Click Here
ORANGE,"56,232",0,0,0.0%,381,381,0.68%,Click Here
ANGELINA,"55,965",0,4,0.01%,359,363,0.65%,Click Here
WISE,"55,864",0,0,0.0%,183,183,0.33%,Click Here
LIBERTY,"54,530",0,0,0.0%,176,176,0.32%,Click Here
HOOD,"51,704",0,0,0.0%,412,412,0.8%,Click Here
HARRISON,"47,283",0,0,0.0%,202,202,0.43%,Click Here
CORYELL,"46,995",0,0,0.0%,274,274,0.58%,Click Here
SAN PATRICIO,"45,265",0,0,0.0%,210,210,0.46%,Click Here
WALLER,"44,330",0,0,0.0%,1,1,0.0%,Click Here
POLK,"44,308",0,0,0.0%,416,416,0.94%,Click Here
HARDIN,"43,116",0,0,0.0%,114,114,0.26%,Click Here
